Object: noodle, Seed: 5810, Result: 1, vel: 5.297590544835894, pos:[-0.2693356943233482, 0.39060803303918135, 0], ori:[90, -1.5531559447402934, 8.135551704683543]
Object: noodle, Seed: 5464, Result: 0, vel: 5.590957676554451, pos:[-0.02089723240481428, -0.13649437508804452, 0], ori:[90, 2.3373597288789503, -0.4636145911174463]
Object: noodle, Seed: 687, Result: 0, vel: 5.986909512496179, pos:[-0.038547048375735304, -0.10435939027911711, 0], ori:[90, 0.3613516993808288, 10.281889165667572]
Object: noodle, Seed: 2315, Result: 0, vel: 5.1713905097308555, pos:[-0.04913732070908927, 0.36488228653142785, 0], ori:[90, -2.289345806175959, 10.74710528730175]
Object: noodle, Seed: 2812, Result: 0, vel: 5.7745872030869085, pos:[-0.148486688742986, -0.3671134842226699, 0], ori:[90, 1.5033890676883512, 8.485625005228155]
Object: noodle, Seed: 7144, Result: 0, vel: 5.825882967525518, pos:[-0.10258584626846795, 0.4804655655314125, 0], ori:[90, 3.7940682491516693, 11.872823113658342]
Object: noodle, Seed: 9438, Result: 0, vel: 5.660180759018495, pos:[-0.14968723830195502, -0.4000682437658414, 0], ori:[90, 3.6126531440676164, -3.0773583591762357]
Object: noodle, Seed: 3598, Result: 0, vel: 5.543406315134801, pos:[-0.24983543673338415, 0.3127948047462694, 0], ori:[90, 4.833114575017653, 12.996177689438571]
Object: noodle, Seed: 1430, Result: 0, vel: 5.668195809920492, pos:[-0.048852937722676903, 0.23482071384094538, 0], ori:[90, -3.7198295649134128, 5.1881401097397415]
Object: noodle, Seed: 8972, Result: 0, vel: 5.436396764531147, pos:[-0.04620409004436005, -0.295774543823922, 0], ori:[90, -3.7661461028526197, -7.942889657274935]
Object: noodle, Seed: 2820, Result: 0, vel: 5.433846972030702, pos:[-0.12844305645520462, -0.36924570691670944, 0], ori:[90, -4.6011404953367325, 3.7813514927197716]
Object: noodle, Seed: 9781, Result: 0, vel: 5.340804847998125, pos:[-0.2944308445991643, -0.10097594525466524, 0], ori:[90, -2.752205285297593, -4.803812392050041]
Object: noodle, Seed: 3014, Result: 1, vel: 5.9501811076032105, pos:[-0.13854148191482432, -0.1897876770274517, 0], ori:[90, 3.3033017084019995, 6.771944644260156]
