Object: cuboid, Seed: 22320, Result: 0, vel: 5.079345710067516, roll:0.030715181633749034, pos:[0.0013607638833301183, -0.9312131600671802, 0], ori:[-4.809816408634827, 90, 8.07901164251458]
Object: cuboid, Seed: 9309, Result: 0, vel: 5.0641460315466365, roll:0.016958994337855193, pos:[-0.051696725988896464, 0.39966949134548413, 0], ori:[-3.1878261087773927, 90, 11.396519280665593]
Object: cuboid, Seed: 75029, Result: 1, vel: 5.833200240857524, roll:-0.05368645478138054, pos:[-0.2711639010586895, -0.6158968116725155, 0], ori:[2.119456765231585, 90, -2.6384189074961135]
Object: cuboid, Seed: 62315, Result: 1, vel: 5.435044953614382, roll:-0.25365113298268244, pos:[-0.0243679190685564, 0.04716920092857779, 0], ori:[0.23599560155215293, 90, -13.75202277122239]
Object: cuboid, Seed: 24361, Result: 1, vel: 5.987281361875324, roll:-0.03358028515999334, pos:[0.09320710174238173, 0.9912507346302013, 0], ori:[-0.5331590143574259, 90, 9.12890415118122]
Object: cuboid, Seed: 76052, Result: 1, vel: 5.852443620583437, roll:0.20373657080717394, pos:[-0.004637081223655304, 1.0582463823073527, 0], ori:[-3.566031359370622, 90, -0.5951638500614607]
Object: cuboid, Seed: 84833, Result: 1, vel: 5.00995055230569, roll:-0.19646429244665006, pos:[-0.14936373800738617, 0.6248775527042916, 0], ori:[-0.5815671601482588, 90, -12.080834689134807]
Object: cuboid, Seed: 45049, Result: 0, vel: 5.885682539079158, roll:0.08702361382066781, pos:[-0.13127662221623598, -0.9297950772867487, 0], ori:[3.13499023237722, 90, -3.8447989809567122]
Object: cuboid, Seed: 53406, Result: 1, vel: 5.74606730455301, roll:-0.26566230231019405, pos:[-0.11715811654948599, 0.7934556082466937, 0], ori:[3.1695233355833565, 90, 13.787108764158337]
Object: cuboid, Seed: 79942, Result: 1, vel: 5.649591492287979, roll:-0.20585346470022342, pos:[-0.04996132549718407, 0.9843116539889285, 0], ori:[-0.5166018617076062, 90, -6.479542127176694]
Object: cuboid, Seed: 26411, Result: 1, vel: 5.6210075256030185, roll:-0.23437100064522065, pos:[0.00829622521205764, 0.6690582478402285, 0], ori:[-4.195506204209213, 90, 11.62209608938042]
Object: cuboid, Seed: 83398, Result: 1, vel: 5.361307587888517, roll:0.29963975924330893, pos:[0.010916976626237085, 0.8030299564090735, 0], ori:[-2.6594983164323507, 90, 13.101401025866156]
Object: cuboid, Seed: 21274, Result: 0, vel: 5.346900483516655, roll:0.0035520852445324325, pos:[-0.12761381024730925, 0.02029809484658629, 0], ori:[3.3396109518196706, 90, 2.5783310083265185]
Object: cuboid, Seed: 99724, Result: 0, vel: 5.384137991980046, roll:-0.1277223316290734, pos:[0.005765654289491329, -0.24773308443711772, 0], ori:[2.042182030033657, 90, -7.904155001223243]
Object: cuboid, Seed: 8769, Result: 1, vel: 5.232460636312002, roll:-0.03018962624215038, pos:[-0.007897867677329806, -0.23066866149774123, 0], ori:[-4.68947703592222, 90, 12.24405870073359]
Object: cuboid, Seed: 814, Result: 1, vel: 5.179206647252015, roll:0.11798694137514332, pos:[0.055335398454828766, -0.4700282817183522, 0], ori:[2.194718052663889, 90, -7.2640567900185005]
Object: cuboid, Seed: 55860, Result: 0, vel: 5.9718606288562635, roll:-0.14263698520052948, pos:[-0.01733019019236287, 0.06290277055890758, 0], ori:[-4.128954205311482, 90, -2.6685815767923575]
Object: cuboid, Seed: 3379, Result: 0, vel: 5.137661692572356, roll:0.08440974951516078, pos:[-0.12970684849802191, 0.1772924656845536, 0], ori:[-0.7028974181448433, 90, -7.216525334009809]
Object: cuboid, Seed: 51909, Result: 0, vel: 5.20409357668153, roll:-0.09460741524884739, pos:[0.07861710142901585, -0.2339699741483937, 0], ori:[-4.929242826861758, 90, -2.0329642784112956]
Object: cuboid, Seed: 37936, Result: 0, vel: 5.793603404680997, roll:-0.1135144617840601, pos:[-0.2553883742902252, -1.0048853484963007, 0], ori:[-4.156452213761476, 90, -5.808687558940537]
Object: cuboid, Seed: 33181, Result: 0, vel: 5.003869745776385, roll:-0.2744756460716332, pos:[-0.18243026608942842, 0.9991455868761367, 0], ori:[0.1036160625962399, 90, 9.939662166558485]
Object: cuboid, Seed: 42233, Result: 1, vel: 5.9969321714730395, roll:0.11265722306836662, pos:[-0.008889467208086366, 0.969070403624156, 0], ori:[0.308382296218471, 90, 10.35730321924489]
Object: cuboid, Seed: 16022, Result: 0, vel: 5.262204998235797, roll:0.25682200999543553, pos:[-0.26128613173624415, 0.44184819560123767, 0], ori:[-4.137603160210875, 90, 9.537575879526269]
Object: cuboid, Seed: 20707, Result: 1, vel: 5.608717498070904, roll:0.1990773944523483, pos:[-0.019957127049083923, -0.44561282259919255, 0], ori:[4.184287979218009, 90, 4.645149845311611]
Object: cuboid, Seed: 12749, Result: 0, vel: 5.260725700520209, roll:0.01891850935123429, pos:[-0.24687059106275822, 0.8698432035247377, 0], ori:[-3.5530292391352125, 90, 3.014498020242076]
Object: cuboid, Seed: 97003, Result: 0, vel: 5.992382902302744, roll:-0.0435541855915339, pos:[-0.027374282206381995, -0.23520884645576223, 0], ori:[1.9781633433372168, 90, 11.431486193151407]
Object: cuboid, Seed: 45931, Result: 1, vel: 5.843656827066347, roll:-0.10755236539869664, pos:[-0.29925236076627054, -0.4978370839638184, 0], ori:[2.527781381013207, 90, -9.943514659167718]
Object: cuboid, Seed: 91144, Result: 0, vel: 5.704130907144505, roll:-0.03450876953307891, pos:[-0.2490816936827334, -0.24875823159110577, 0], ori:[3.7003849622534517, 90, -8.302229937905434]
Object: cuboid, Seed: 99186, Result: 0, vel: 5.501995209474585, roll:-0.22766532414605173, pos:[-0.12078005881337786, -0.3263194036514212, 0], ori:[-1.4874040720503787, 90, -9.258149676936501]
Object: cuboid, Seed: 31120, Result: 0, vel: 5.72476597507786, roll:-0.1121505114800247, pos:[-0.2613734928201623, 0.8243966038932695, 0], ori:[2.6323228979804743, 90, 13.380548775985652]
Object: cuboid, Seed: 91806, Result: 1, vel: 5.831163999150268, roll:-0.09020665994282115, pos:[0.07064843030286455, -1.0160064786736769, 0], ori:[-1.3999180592752802, 90, 4.125131585666264]
Object: cuboid, Seed: 73757, Result: 1, vel: 5.673521599631736, roll:-0.25451734201949655, pos:[-0.2593550187521174, 0.4325538651646226, 0], ori:[0.9273452118190004, 90, 7.4421088770373665]
Object: cuboid, Seed: 553, Result: 1, vel: 5.892813879738624, roll:-0.1481328894906933, pos:[0.033923157753298294, 0.9076750109890785, 0], ori:[1.9678292232005656, 90, 5.929058111407169]
Object: cuboid, Seed: 53298, Result: 0, vel: 5.882485918790225, roll:0.17974250787137552, pos:[-0.08171696241245907, -0.3255687821887846, 0], ori:[0.8493628137702842, 90, -9.371169624440972]
Object: cuboid, Seed: 45741, Result: 1, vel: 5.969612951612967, roll:-0.20875403169042403, pos:[-0.022833442611732924, 1.1094952230506545, 0], ori:[-0.8508705214145342, 90, -11.258513097721949]
Object: cuboid, Seed: 33722, Result: 0, vel: 5.292765490910616, roll:-0.2959662850672163, pos:[-0.2272910753274064, 1.1951720139647481, 0], ori:[-2.5131654374512067, 90, 2.7991341576440583]
Object: cuboid, Seed: 90973, Result: 0, vel: 5.898302146934145, roll:-0.26205405563115086, pos:[0.02241311328528839, -1.127714236250331, 0], ori:[-0.14754234192723992, 90, -9.118383377691824]
Object: cuboid, Seed: 50776, Result: 1, vel: 5.997086225291946, roll:0.2594527818874936, pos:[-0.21515724082805915, -0.9569731624800246, 0], ori:[4.371802134547146, 90, -1.7198913853991975]
Object: cuboid, Seed: 12234, Result: 1, vel: 5.0063059534281145, roll:-0.1781791444860113, pos:[0.0059159714693493015, 0.1323212085006633, 0], ori:[2.435854567271468, 90, 12.257786147177686]
Object: cuboid, Seed: 13519, Result: 0, vel: 5.358552557222177, roll:0.23658455085041447, pos:[-0.18923317995089123, 0.7484869685254372, 0], ori:[-4.181498858099291, 90, 7.5610615474781255]
Object: cuboid, Seed: 14559, Result: 0, vel: 5.478017633730616, roll:-0.27480941883607723, pos:[-0.17089583532025243, 1.1287201952810022, 0], ori:[-4.9467851880903275, 90, -0.3714470021789893]
Object: cuboid, Seed: 3300, Result: 0, vel: 5.649542986105786, roll:-0.1820500203313829, pos:[-0.22123517710037938, -0.9444850042833934, 0], ori:[3.258435186448054, 90, 7.465756013905629]
Object: cuboid, Seed: 36708, Result: 1, vel: 5.776409252199126, roll:-0.04215578424393629, pos:[0.08128829941550225, -0.6853950533601534, 0], ori:[1.3858498450404975, 90, 13.447907544262744]
